downloadFormats,downloads,lyrics,mainArtist,music,song,url,videoURI,visits
,,,Salvage,,Hamuweido Api Awasane - Salvage,,,
"HD,MP4",2988,Tharinda Kasun Jayawardena,Hansani Wimalsiri,Nimesh Kulasinghe,Puthune Nidana - Sangeethe Teledrama Song | Hansani Wimalsiri - Hansani Wimalsiri,www.fmderana.lk/sinhala-music-videos/1759/puthune-nidana-sangeethe-teledrama-song-hansani-wimalsiri-hansani-wimalsiri,https://www.youtube.com/embed/Y979BMHpw2E?rel=0,10109
"HD,MP4",481,Nimal Wijesiri,Lakmini Dissanayake,Denister Perera,Suraganan Walape - Lakmini Dissanayake - Lakmini Dissanayake,www.fmderana.lk/sinhala-music-videos/1760/suraganan-walape-lakmini-dissanayake-lakmini-dissanayake,https://www.youtube.com/embed/-ZGZM-Hg06k?rel=0,1890
,0,Shaheen Bin Saad,Ravi Royster Jr.,Ravi Royster Jr,Mat Jao  - Ravi Royster Jr.,www.fmderana.lk/sinhala-music-videos/1761/mat-jao-ravi-royster-jr,https://www.youtube.com/embed/1C5ObTfaeHA?rel=0,1959
"HD,MP4",397,Dushan Jayathilaka,Grace,Dushan Jayathilaka,Naththal Naththal - Grace,www.fmderana.lk/sinhala-music-videos/1762/naththal-naththal-grace,https://www.youtube.com/embed/7oK0pM5O94c?rel=0,2312
"HD,MP4",2639,Upul Kiridena,Praneeth Perera,Praneeth Perera,Methuwak Pura - Praneeth Perera,www.fmderana.lk/sinhala-music-videos/1757/methuwak-pura-praneeth-perera,https://www.youtube.com/embed/KPFP40_rniI?rel=0,9012
,0,Oniesh De Mel,Taxi,Taxi,Iskole  - Taxi,www.fmderana.lk/sinhala-music-videos/1780/iskole-taxi,https://www.youtube.com/embed/PTqBZcGPX7c?rel=0,2448
"HD,MP4",1653,Tharinda Kasun Jayawardana,Udesh / Lavan /  Naveen / Hansani,Nimesh Kulasinghe,Hama Enna Sulage | Magen Gasak Mihithalayata | TV Derana 14th Anniversary Theme Song - Udesh / Lavan /  Naveen / Hansani,www.fmderana.lk/sinhala-music-videos/1758/hama-enna-sulage-magen-gasak-mihithalayata-tv-derana-14th-anniversary-theme-song-udesh-lavan-naveen-hansani,https://www.youtube.com/embed/n8RcgTBGdDo?rel=0,4961
"HD,MP4",5435,Shehan Galahitiyawa,Sandeep Jayalath,Udara Samaraweera,Heily Theme Song  - Sandeep Jayalath,www.fmderana.lk/sinhala-music-videos/1763/heily-theme-song-sandeep-jayalath,https://www.youtube.com/embed/pw7zY-jiTrY?rel=0,18288
"HD,MP4",625,Sahan Ranwala,Visharada Amandya Uthpalie,Pasan Liyanage,Mage Loken - Visharada Amandya Uthpalie,www.fmderana.lk/sinhala-music-videos/1764/mage-loken-visharada-amandya-uthpalie,https://www.youtube.com/embed/i3YHBYmDcjQ?rel=0,2445
