artist,genre,guitarKey,lyrics,music,postedBy,song,visits,writer
Sathish Perera,,,,,,අවසන් ලියුමයි,,
,,,,,,,,
Milton Mallawarachchi,Old Pops,,,Stanley Pieris,Harsha Jayamanne,අමා රන් හැඟුම්,688,K.D.K.Dharmawardhana
Milton Mallawarachchi,Old Pops, D major ,",| D |D7 |
| G | - | G | - |
| A | - |A7 | D |,D       D7 G           
ඝන අඳුරේ රළ පතරේ 
G       D7        D
ජීවය පරදුවට තබා
D          C
වියත රකින මහ සම්පත්
C          D        (C|D)
නෙළා ගන්න මුහුදු ගියා,| D | - |
| G | D | G | D |
| C | D | C | D |,D             G             			                                                   
තෝරු මෝරු පොකිරිස්සෝ
G            D7        D
අපෙ දුක සැප විමසනවා//
D             C
තොරතුරු ගැන කම්පා වී
C          D
අපේ දැළට ළංවෙනවා
C        D       (C|D)
කම්පා වී ළංවෙනවා,,D            G             			                                                   
පණ කෙන්දට බිය ඇත්තෝ
G           D
මුහුදු යන්න බිය වෙනවා//
D             C
බිය සැක නැති අය දුටුව ම
C          D
මහ මුහුදත් බිය වෙනවා
C           D       (C|D)
මහ මුහුදත් බියවෙනවා,,,| D |D7 |
| G | - | G | - |
| A | - |A7 | D |,| D |D7 | G | - |
| G |D7 |,|
| D | C | - | D |
| C | D |,| D | - |
| G | D | G | D |
| C | D | C | D |,| D | G | - | - |
| G |D7 |,|
| D | G | - |D7 |
|,| D | C |
| C | D | C | D |
| C | D |,",Clarence Wijewardena,Harsha Jayamanne,ඝන අඳුරේ,930,K.D.K.Dharmawardhana
,,,,,,,,
H.R.Jothipala,, G major ,,Milroy Dharmarathna,Harsha Jayamanne,කෝකිලයා කෙවිලිය හා,"1,167",Karunarathna Abeysekara
M.S.Fernando,"Old Pops,Request", G Major ,",|Em | - |Am | - |
|D7 | - | G | - |
| G |G7 | C | - |
|D/C|G/D| G | - |,G
අවුදුරු පණස් තුනයි වයස
                       D
බැලු බැල්මට කියන්න බෑ
 Am                   D
තාමත් කොල්ල වගේ ඉන්නේ
D              D7           G
හැට පැන්නත් නැකි වෙන්නෙ නෑ,G                                         C
සුළු දෙයක්නෙ තවම ඔහෙල මේක දන්නෙ නෑ 
Am          Ab+        C           G         
නාකි නොවී ඉන්න රහස හංග ගන්නෙ නෑ//
 B7                       Em          Am
කියල දෙන්න තෑගි බෝග ඕන වෙන්නෙ නෑ
 D                       D7             G
ලේසි පහසු දෙයක් නොවේ හිතුවොත් බැරි නෑ,,G                                C
පුහු මැනෙන් ඉදිමුන සිත පිරිසිදු වෙන්නෑ 
Am          Ab+       C           G
අමනාපෙන් වෙන්වූ විට සිතට සතුට නෑ // 
B7                     Em        Am 
සිතේ සතුට නැතිදා සැනසීම සිතට නෑ 
D                     D7           G
සිත පිරිසිදු අය කවදත් නාකි වෙන්නෙ නෑ,,,|Em | - |Am | - |
|D7 | - | G | - |
| G |G7 | C | - |
|D/C|G/D| G | - |,| G | - | - | - |
| G | - | D | - |
|Am | - | D | - |
| D |D7 | G | - |,|| G | - | - | C |
 |Am |Ab+| C | G ||
 |B7 | - |Em |Am |
 | D | - |D7 | G |,",R.A.Chandrasena,Harsha Jayamanne,අවුදුරු පණස් තුනයි,"3,220",M.S.Fernando
Clarence Wijewardena,Old Pops, F major ,,Clarence Wijewardena,Harsha Jayamanne,දිනෙක මේ නදී,"1,377",Kularathna Ariyawansa
Clarence Wijewardena,Old Pops, E minor ,,Clarence Wijewardena,Harsha Jayamanne,හිරුගේ ලොවේදී,"1,148",Kularathna Ariyawansa
Abeywardhana Balasooriya,Old Pops,,,Unknown,Harsha Jayamanne,දිනෙක මතුදා,707,Unknown
Victor Rathnayaka,"Classics,Golden Pop", D minor ,",|Dm |Am/Dm|Am |G/Dm |
| G | F/C |Am |  -  |
|Am | G/Am|C  | F/C |
|Dm | F/Dm|Dm |  -  |
|Dm | C/Dm|Dm |  F  |
|Dm | C/Dm|,Dm                     F
දිනෙක හිරු බැස යන වෙලාවක
C             Dm      (|Dm|Dm|)
සයුරු වෙරළක හුදකලාවෙක
G         F
කල්පනාවේ සිටිය මොහොතක
C            C     Dm (1st|Am|Dm|)      
මතක් විය සිතුවිලි අතීතෙක //,|Dm |  -  |Dm |  F  |
| C |  Am | C |  Dm |
|Dm |  C  |Am |  Dm |
|Dm |  C  |Dm |  -  |,Dm    F      G
සයුර මා විය අහස ‍ඔබ විය
C            Dm          (|F|Dm/F|)
දෙදෙන ළං වූ ක්ෂිතිජයක් විය
G          F    Dm
ඒ වෙලාවේ මට මතක් විය
G     C     F   C      Dm  (|Dm|+|)
කලක් ලොව අප ගැන සිතූ හැටි,Dm    F      G
සයුර මා විය අහස ‍ඔබ විය
C             Dm        (|F|Dm/F|)
දෙනෙත රැවටූ ක්ෂිතිජයක් විය
G          F    Dm
කී කථා‍වේ අරුත වැටහිණ
G    C   F   C    Dm  (|Dm|+|)
අහස සමුදුර එකතු වී යැයි,,|Dm |Am/Dm|Am |G/Dm |
| G | F/C |Am |  -  |
|Am | G/Am|C  | F/C |
|Dm | F/Dm|Dm |  -  |
|Dm | C/Dm|Dm |  F  |
|Dm | C/Dm|,|Dm |  -  |
|Dm |  F  | C |  -  |
|Dm |  -  |,| 
| G |  -  | F |  -  |
| C |  -  | C | Dm  |
|,|Dm |  -  |
|Dm |  F  | C |  -  |
|Dm |  -  |,|
| G |  -  | F |  -  |
| C |  -  | C | Dm  |,|Dm |  -  |Dm |  F  |
| C |  Am | C |  Dm |
|Dm |  C  |Am |  Dm |
|Dm |  C  |Dm |  -  |,|Dm |  F  | G |  -  |
| C |  -  |Dm |  -  | 
|,| G |  -  |
| F | Dm  | G | C/F |
| C | Dm  |,|",Victor Rathnayaka,Harsha Jayamanne,දිනෙක හිරු බැස,850,K.D.K.Dharmawardhana
,,,,,,,,
H.R.Jothipala,Movie Songs, G minor ,,Sarath De Alwis,Harsha Jayamanne,දිලි දිලි දිලීසේවි,"1,684",Siri Nihal Jayasingha
